no,url,original_price,discounted_price
1,/online-courses/data-analytics/transform-part-time/,"$12,500","$11,250"
2,/online-courses/ux-ui-design/transform/,"$12,500","$11,250"
3,/online-courses/ux-ui-design/elevate-self-paced/,"$3,500","$3,150"
4,/online-courses/data-analytics/data-analytics-self-paced-elevate/,"$3,500","$3,150"
5,/online-courses/front-end-web-development/transform-part-time/,"$10,150","$9,135"
6,/online-courses/software-engineering/transform-full-time/,"$14,500","$13,050"
7,/online-courses/software-engineering/transform-part-time/,"$14,500","$13,050"
8,/online-courses/graphic-design/transform-part-time/,"$12,000","$10,800"
9,/online-courses/graphic-design/elevate-self-paced/,"$3,500","$3,150"
10,/online-courses/cyber-security/transform-part-time/,"$14,500","$13,050"
11,/online-courses/product-management/transform-part-time/,"$12,500","$11,250"
12,/online-courses/product-management/elevate-self-paced/,"$3,500","$3,150"
13,/online-courses/service-design/elevate-self-paced/,"$3,500","$3,150"
14,/online-courses/design-thinking/elevate-self-paced/,"$3,500","$3,150"
15,/online-courses/customer-experience/elevate-self-paced/,"$3,500","$3,150"
16,/online-courses/social-media-marketing/elevate-self-paced/,"$3,500","$3,150"
17,/online-courses/digital-marketing/transform-part-time/,"$12,000","$10,800"
18,/online-courses/digital-marketing/elevate-self-paced/,"$3,500","$3,150"
19,/online-courses/digital-project-management/elevate-self-paced/,"$3,500","$3,150"
